# generated_at: 2026-05-15T12:15:02Z, dataset_version: v202605151210, source: internetinmyanmar.com/data
asn,isp_name,started_at,ended_at,duration_minutes,min_visibility_pct,resolved
AS139804,REDPALM-AS-AP RED PALM COMPANY LIMITED,2026-04-12T17:01:28Z,2026-04-12T17:31:07Z,29,0.0,True
AS137259,ILINK-AS-AP i-Link,2026-04-12T17:01:46Z,2026-04-12T17:31:08Z,29,0.0,True
AS150159,BDCL-AS-AP BRAINWAVE DATA COMPANY LIMITED,2026-04-12T17:02:18Z,2026-04-12T17:31:24Z,29,0.0,True
AS9988,MPT-AP Myanma Posts and Telecommunications,2026-04-12T18:10:27Z,2026-04-12T18:15:11Z,4,0.0,True
AS136780,MIHL-AS-AP MYANMAR INFORMATION HIGHWAY LIMITED,2026-04-12T20:01:30Z,2026-04-12T20:31:27Z,29,0.0,True
AS139804,REDPALM-AS-AP RED PALM COMPANY LIMITED,2026-04-12T21:01:16Z,2026-04-12T21:31:08Z,29,0.0,True
AS137826,ASTCL-AS-AP AST SYSTEM TECHNOLOGY COMPANY LIMITED,2026-04-12T21:01:32Z,2026-04-12T21:31:33Z,30,0.0,True
AS151783,ERU-AS-AP EASTERN ROYAL UNICOM ERU TECHNOLOGY COMPANY LIMITED,2026-04-12T21:01:55Z,2026-04-12T21:31:51Z,29,0.0,True
AS151606,MSPACL-AS-AP MYANMAR SHWE PYI AYE COMPANY LIMITED,2026-04-12T21:31:24Z,2026-04-12T22:01:20Z,29,0.0,True
AS137891,BETHEFIRST-AS-AP Be The First,2026-04-12T23:01:41Z,2026-04-12T23:31:29Z,29,0.0,True
AS135307,GTMH-AS-AP Golden TMH Telecom Co. Ltd,2026-04-13T02:32:52Z,2026-04-13T03:02:35Z,29,0.0,True
AS133384,GTCL-AS-AP Global Technology Co.,2026-04-13T02:33:25Z,2026-04-13T03:03:10Z,29,0.0,True
AS136465,INFORMATIONTECHNOLOGYCYBERSECURITY-AS-AP Dept. of Information Technology & Cyber Security,2026-04-13T02:33:46Z,2026-04-13T03:03:17Z,29,0.0,True
AS133440,STIGW-AS-AP ST.Net,2026-04-13T02:34:35Z,2026-04-13T03:03:29Z,28,0.0,True
AS139595,HTIN-AS-AP HTIN HTIN NETWORK COMPANY LIMITED,2026-04-13T02:34:52Z,2026-04-13T03:03:31Z,28,0.0,True
AS153549,MTC-AS-AP MUI Technology Company Limited,2026-04-13T02:35:41Z,2026-04-13T03:04:32Z,28,0.0,True
AS139849,ROYALESPRIT-AS-AP Royal Esprit Company Limited,2026-04-13T03:02:19Z,2026-04-13T03:31:28Z,29,0.0,True
AS149660,HSCL-AS-AP Horizon Sources Company Limited,2026-04-13T03:02:51Z,2026-04-13T03:31:41Z,28,0.0,True
AS141704,GALAXIANET-AS-AP Galaxia @ Net,2026-04-13T03:03:51Z,2026-04-13T03:33:00Z,29,0.0,True
AS140617,TPTNET-AS-AP THAN PHYO THU MINING COMPANY LIMITED,2026-04-13T03:32:53Z,2026-04-13T04:05:01Z,32,0.0,True
AS136919,FACE24COLTD-AS-AP FACE24 Co.,2026-04-13T04:04:06Z,2026-04-13T04:33:13Z,29,0.0,True
AS135307,GTMH-AS-AP Golden TMH Telecom Co. Ltd,2026-04-13T04:32:36Z,2026-04-13T05:01:51Z,29,0.0,True
AS150159,BDCL-AS-AP BRAINWAVE DATA COMPANY LIMITED,2026-04-13T04:32:52Z,2026-04-13T05:01:52Z,29,0.0,True
AS133385,ATOMMYANMAR-AS-AP Atom Myanmar Limited,2026-04-13T04:33:49Z,2026-04-13T05:02:12Z,28,0.0,True
AS152329,AKNCL-AS-AP Aon Kham Network Company Limited,2026-04-13T04:34:06Z,2026-04-13T05:02:14Z,28,0.0,True
AS140091,SHWE-AS-AP SHWE MAHAR MAE KHONG INDUSTRIAL COMPANY LIMITED,2026-04-13T04:34:35Z,2026-04-13T05:02:55Z,28,0.0,True
AS140617,TPTNET-AS-AP THAN PHYO THU MINING COMPANY LIMITED,2026-04-13T04:34:52Z,2026-04-13T05:02:57Z,28,0.0,True
AS138158,SPAL-AS-AP Serge Pun & Associate Myanmar Ltd.,2026-04-13T04:35:22Z,2026-04-13T05:32:54Z,57,0.0,True
AS139704,AS-AGBC AGB Communication Co.,2026-04-13T04:35:41Z,2026-04-13T05:04:13Z,28,0.0,True
AS150297,GMBECL-AS-AP Golden Myanmar Business Exchange Co. Ltd,2026-04-13T05:02:44Z,2026-04-13T05:32:19Z,29,0.0,True
AS136617,FTCL-AS-AP Fortune Telecom Company Limited,2026-04-13T05:03:33Z,2026-04-13T05:32:52Z,29,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-13T05:15:23Z,2026-04-13T05:20:04Z,4,0.0,True
AS149038,UCGCL-AS-AP UNIQUE COMM GROUP COMPANY LIMITED,2026-04-13T05:31:23Z,2026-04-13T13:31:08Z,479,0.1,True
AS150812,MFGCL-AS-AP Myanmar Fortune Global Company Limited,2026-04-13T06:02:31Z,2026-04-13T06:32:24Z,29,0.0,True
AS132167,U9-MM Nine Communications Company Limited,2026-04-13T06:25:18Z,2026-04-13T06:31:21Z,6,0.0,True
AS133384,GTCL-AS-AP Global Technology Co.,2026-04-13T08:32:20Z,2026-04-13T09:01:42Z,29,0.0,True
AS150285,LMHCC-AS-AP Long Mao Home Center Co.ltd.,2026-04-13T08:32:39Z,2026-04-13T09:01:47Z,29,0.0,True
AS150309,ERSTCL-AS-AP E R S TECHNOLOGY,2026-04-13T08:32:56Z,2026-04-13T09:01:54Z,28,0.0,True
AS151341,THENEXTSUCCESS-AS-AP The Next Success,2026-04-13T08:33:02Z,2026-04-13T09:01:55Z,28,0.0,True
AS142126,SCSKMYANMARLTD-AS SCSK Myanmar Ltd,2026-04-13T08:33:06Z,2026-04-13T09:01:56Z,28,0.0,True
AS149810,ACL-AS-AP AnyNet,2026-04-13T09:02:13Z,2026-04-13T09:32:03Z,29,0.0,True
AS135307,GTMH-AS-AP Golden TMH Telecom Co. Ltd,2026-04-13T11:01:43Z,2026-04-13T11:31:43Z,29,0.0,True
AS45558,MPT-MM-AS-AP MYANMA POSTS AND TELECOMMUNICATIONS,2026-04-13T11:33:24Z,2026-04-13T12:03:31Z,30,0.0,True
AS135307,GTMH-AS-AP Golden TMH Telecom Co. Ltd,2026-04-13T12:31:50Z,2026-04-13T13:01:25Z,29,0.0,True
AS132100,MSN-AS-AP Myanmar Speed Net Co.,2026-04-13T14:31:17Z,2026-04-13T15:01:07Z,29,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-13T14:40:19Z,2026-04-13T14:45:10Z,4,0.0,True
AS136480,MMUNILINK-AS-AP Myanmar Unilink Communication Company Limited,2026-04-13T15:25:33Z,2026-04-13T15:32:19Z,6,0.0,True
AS137861,MWT-AS-AP Myanmar World Distribution Telecommunication Company Limited,2026-04-13T15:31:42Z,2026-04-13T16:01:22Z,29,0.0,True
AS142126,SCSKMYANMARLTD-AS SCSK Myanmar Ltd,2026-04-13T16:32:15Z,2026-04-13T17:02:01Z,29,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-13T17:20:27Z,2026-04-13T17:25:04Z,4,0.0,True
